unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51439029,96509292
CL,Yes,51439036,96509303
CL,Yes,51439073,96509365
CL,Yes,51439074,96509366
ML,No ,51439074,96509367
SC,No ,51439074,96509368
SC,No ,51439075,96509369
CL,Yes,51439075,96509370
SC,No ,51439076,96509371
CL-ML,No ,51439076,96509372
CL,Yes,51439076,96509373
CL,Yes,51439028,96509291
CL,Yes,51439030,96509293
SC,No ,51439035,96509301
CL,Yes,51439035,96509302
SC,No ,51439037,96509306
CL-ML,No ,51439037,96509307
CL,Yes,51439037,96509308
CL,No ,51439071,96509360
ML,Yes,51439071,96509361
CL,Yes,51439031,96509294
CL,No ,51439032,96509295
ML,Yes,51439032,96509296
SC,No ,51439033,96509297
CL-ML,No ,51439033,96509298
CL,Yes,51439033,96509299
CL,Yes,51439034,96509300
ML,No ,51439036,96509304
SC,No ,51439036,96509305
CL,Yes,51439038,96509309
CL,Yes,51439070,96509359
SC,No ,51439072,96509362
CL-ML,No ,51439072,96509363
CL,Yes,51439072,96509364
CL,Yes,51439077,96509374
CL,No ,51439079,96509378
MH,Yes,51439079,96509379
CL,Yes,51439086,96509392
CL,No ,51439088,96509396
MH,Yes,51439088,96509397
SC,No ,51439093,96509405
CL-ML,No ,51439093,96509406
CL,Yes,51439093,96509407
OH,No ,51439095,96509409
CL,No ,51439095,96509410
OL,No ,51439095,96509411
MH,Yes,51439095,96509412
CL,Yes,51439097,96509414
SC,No ,51439078,96509375
CL-ML,No ,51439078,96509376
CL,Yes,51439078,96509377
CL,No ,51439080,96509380
MH,Yes,51439080,96509381
MH,Yes,51439085,96509390
ML,No ,51439085,96509391
SC,No ,51439087,96509393
CL-ML,No ,51439087,96509394
CL,Yes,51439087,96509395
CL,Yes,51439094,96509408
CL,Yes,51439096,96509413
ML,No ,51439081,96509382
CL,Yes,51439081,96509383
CL,Yes,51439082,96509384
MH,No ,51439083,96509385
ML,Yes,51439083,96509386
SC,No ,51439084,96509387
CL-ML,No ,51439084,96509388
CL,Yes,51439084,96509389
OH,No ,51439098,96509415
CL,No ,51439098,96509416
OL,No ,51439098,96509417
MH,Yes,51439098,96509418
CL,No ,51439089,96509398
MH,Yes,51439089,96509399
ML,No ,51439090,96509400
CL,Yes,51439090,96509401
CL,Yes,51439091,96509402
CL,No ,51439092,96509403
ML,Yes,51439092,96509404
