featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,12,35,51,12,35,51,17607991,8553384
Cambic horizon,12,35,51,45,84,146,15,49,134,17607991,8553385
Free carbonates,45,84,146,200,200,200,54,116,155,17607991,8553386
Free carbonates,40,74,112,200,200,200,88,126,160,17608000,8553362
Mollic epipedon,0,0,0,25,38,61,25,38,61,17608000,8553363
Cambic horizon,25,38,61,40,74,112,15,36,51,17608000,8553364
Mollic epipedon,0,0,0,12,35,51,12,35,51,17608001,8553371
Cambic horizon,12,35,51,45,84,146,15,49,134,17608001,8553372
Free carbonates,45,84,146,200,200,200,54,116,155,17608001,8553373
Mollic epipedon,0,0,0,35,58,61,35,58,61,17608004,8553377
Free carbonates,61,97,107,200,200,200,93,103,139,17608004,8553378
Cambic horizon,35,58,61,61,97,107,18,39,66,17608004,8553379
Free carbonates,40,74,112,200,200,200,88,126,160,17608005,8553313
Mollic epipedon,0,0,0,25,38,61,25,38,61,17608005,8553314
Cambic horizon,25,38,61,40,74,112,15,36,51,17608005,8553315
