shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,26694592,15506473
Linear,Convex,26694592,15506474
Convex,Linear,26694592,15506475
Convex,Convex,26694593,15506470
Linear,Convex,26694593,15506471
Convex,Linear,26694593,15506472
Linear,Convex,26694594,15506629
Linear,Linear,26694594,15506630
Linear,Convex,26694596,15506469
Linear,Convex,26694644,15506639
Linear,Linear,26694644,15506640
Linear,Convex,26694646,15506677
Concave,Concave,26694648,15506679
Linear,Linear,26694650,15506657
Linear,Concave,26694653,15506658
Linear,Linear,26694654,15506681
Linear,Convex,26694656,15506643
Linear,Linear,26694656,15506644
Concave,Concave,26694658,15506668
