pmgroupname,rvindicator,cokey,copmgrpkey
fine-loamy till,Yes,17598782,12725190
local alluvium,No ,17598783,12725197
local alluvium over till,Yes,17598783,12725198
fine-loamy till,Yes,17598830,12725122
fine-loamy till,Yes,17598831,12725121
fine-loamy till,Yes,17598832,12725123
fine-loamy till,No ,17598833,12725125
local alluvium over till,Yes,17598833,12725126
glaciolacustrine deposits,No ,17598833,12725127
fine-loamy till,No ,17598860,12725181
local alluvium over till,Yes,17598860,12725182
glaciolacustrine deposits,No ,17598860,12725183
fine-loamy till,Yes,17598861,12725179
fine-loamy till,Yes,17598862,12725184
