rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,,NA,NA,,,,Yes,54716320,5717184
Friable,,NA,NA,,,,Yes,54716321,5717114
Friable,,NA,NA,,,,Yes,54716322,5717185
Friable,,NA,NA,,,,Yes,54716323,5717254
Friable,,NA,NA,,,,Yes,54716324,5717115
Friable,,NA,NA,,,,Yes,54716325,5717045
Friable,,NA,NA,,,,Yes,54716326,5717255
Friable,,NA,NA,,,,Yes,54716327,5717046
Friable,,NA,NA,,,,Yes,54716328,5717047
Friable,,NA,NA,,,,Yes,54716329,5717048
Friable,,NA,NA,,,,Yes,54716528,5717117
Friable,,NA,NA,,,,Yes,54716529,5717118
Friable,,NA,NA,,,,Yes,54716530,5717259
Friable,,NA,NA,,,,Yes,54716531,5717260
Friable,,NA,NA,,,,Yes,54716532,5717189
Friable,,NA,NA,,,,Yes,54716533,5717190
