desgnsuffix,chkey,chdesgnsfxkey
w,54715804,21970269
p,54715805,21970009
t,54715807,21970114
p,54715808,21970113
k,54715809,21970111
t,54715809,21970112
t,54715810,21969909
p,54715811,21969908
k,54715813,21970008
t,54715814,21969861
w,54715815,21970270
p,54715817,21969865
t,54715818,21969863
k,54715818,21969864
p,54715819,21969862
t,54715821,21970010
w,54716318,21970099
p,54716319,21970381
w,54716320,21969983
p,54716321,21970100
w,54716323,21970383
p,54716326,21970382
w,54716328,21970231
w,54716329,21970232
w,54716529,21970023
w,54716530,21970282
p,54716533,21969884
