structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
,,Massive,NA,NA,29918732,36568152
Weak,Medium,Prismatic,1,2,29918796,36568244
Weak,Medium,Subangular blocky,2,NA,29918796,36568245
Moderate,Fine,Subangular blocky,NA,NA,29918974,36568486
Moderate,Medium,Subangular blocky,NA,NA,29918974,36568487
,,Massive,NA,NA,29918977,36568492
Weak,Fine,Subangular blocky,NA,NA,29918867,36568345
Weak,Medium,Subangular blocky,NA,NA,29918868,36568346
Moderate,Fine,Subangular blocky,NA,NA,29918869,36568347
Moderate,Medium,Subangular blocky,NA,NA,29918869,36568348
Weak,Medium,Prismatic,NA,NA,29918733,36568153
Weak,Fine,Subangular blocky,NA,NA,29918733,36568154
Weak,Medium,Subangular blocky,NA,NA,29918733,36568155
,,Massive,NA,NA,29918734,36568156
Moderate,Medium,Subangular blocky,NA,NA,29918797,36568246
Weak,Fine,Subangular blocky,NA,NA,29918798,36568247
Weak,Fine,Granular,NA,NA,29918798,36568248
Weak,Coarse,Prismatic,NA,NA,29918870,36568349
Weak,Medium,Prismatic,NA,NA,29918976,36568489
Weak,Fine,Subangular blocky,NA,NA,29918976,36568490
Weak,Medium,Subangular blocky,NA,NA,29918976,36568491
Weak,Coarse,Prismatic,NA,NA,29918975,36568488
Weak,Very fine,Subangular blocky,NA,NA,29919176,36568777
,,Massive,NA,NA,29919178,36568780
Weak,Coarse,Prismatic,NA,NA,29919175,36568776
Moderate,Medium,Prismatic,1,2,29919177,36568778
Moderate,Medium,Subangular blocky,2,NA,29919177,36568779
Moderate,Fine,Subangular blocky,NA,NA,29919311,36568948
Moderate,Medium,Subangular blocky,NA,NA,29919311,36568949
Moderate,Medium,Subangular blocky,NA,NA,29919312,36568950
Weak,Medium,Subangular blocky,NA,NA,29919567,36569271
,,Massive,NA,NA,29919568,36569272
Weak,Medium,Subangular blocky,NA,NA,29919583,36569295
Weak,Medium,Prismatic,1,2,29919611,36569336
Weak,Medium,Subangular blocky,2,NA,29919611,36569337
,,Massive,NA,NA,29919612,36569338
Weak,Fine,Subangular blocky,NA,NA,29919634,36569366
Moderate,Very fine and fine,Subangular blocky,NA,NA,29919635,36569367
,,Massive,NA,NA,29919461,36569134
Moderate,Fine,Subangular blocky,2,NA,29919581,36569291
Moderate,Fine,Prismatic,1,2,29919581,36569292
Moderate,Fine,Granular,NA,NA,29919585,36569297
Weak,Coarse,Prismatic,1,2,29919613,36569339
Weak,Fine,Subangular blocky,2,NA,29919613,36569340
Weak,Very fine,Subangular blocky,3,NA,29919613,36569341
Moderate,Medium,Subangular blocky,NA,NA,29919584,36569296
Moderate,Fine,Subangular blocky,NA,NA,29919586,36569298
Weak,Fine,Subangular blocky,NA,NA,29919586,36569299
Moderate,Fine,Subangular blocky,NA,NA,29919391,36569044
Moderate,Medium,Subangular blocky,NA,NA,29919391,36569045
Weak,Medium,Prismatic,NA,NA,29919392,36569046
Weak,Fine,Subangular blocky,NA,NA,29919392,36569047
Weak,Medium,Subangular blocky,NA,NA,29919392,36569048
Weak,Coarse,Prismatic,NA,NA,29919460,36569133
Weak,Fine,Subangular blocky,NA,NA,29919580,36569290
Moderate,Medium,Prismatic,1,2,29919582,36569293
Moderate,Medium,Subangular blocky,2,NA,29919582,36569294
,,Massive,NA,NA,29919610,36569335
Weak,Coarse,Prismatic,NA,NA,29919633,36569365
