erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,17553086,1187376
Rill erosion,No ,17553086,1187377
Sheet erosion,Yes,17553087,1187374
Rill erosion,No ,17553087,1187375
Sheet erosion,Yes,17553088,1187378
Rill erosion,No ,17553088,1187379
Rill erosion,Yes,17553157,1187341
Sheet erosion,No ,17553157,1187342
Rill erosion,Yes,17553158,1187343
Sheet erosion,No ,17553158,1187344
Sheet erosion,Yes,17553159,1187345
Rill erosion,No ,17553159,1187346
Sheet erosion,Yes,17553160,1187386
Rill erosion,No ,17553160,1187387
Sheet erosion,Yes,17553161,1187384
Rill erosion,No ,17553161,1187385
Sheet erosion,Yes,17553162,1187388
Rill erosion,No ,17553162,1187389
