pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Fine-silty,,Loess,NA,12686403,17787065
NA,Fine-silty,,Loess,NA,12686402,17787064
NA,Fine-silty,,Loess,NA,12686404,17787066
1,Fine-silty,,Loess,NA,12686391,17787046
2,,,Till,NA,12686391,17787047
1,Fine-silty,,Loess,NA,12686392,17787048
2,,,Till,NA,12686392,17787049
1,Fine-silty,,Loess,NA,12686393,17787050
2,,,Till,NA,12686393,17787051
NA,Fine-silty,,Loess,NA,12686408,17787070
NA,Fine-silty,,Loess,NA,12686407,17787069
NA,Fine-silty,,Loess,NA,12686409,17787071
